NAME,YEAR,CATEGORY,SUB_CATEGORY,MONTH,VALUE
Discover,2023,BANK,CARD,APRIL,656.0
Discover,2022,BANK,CARD,APRIL,1353.78
Discover,2021,BANK,CARD,APRIL,
Dividends,2024,INCOME,OTHER,APRIL,
Dividends,2023,INCOME,OTHER,APRIL,
Dividends,2022,INCOME,OTHER,APRIL,
Dividends,2021,INCOME,OTHER,APRIL,
Electricity,2024,EXPENSE,UTILITY,APRIL,53.0
Electricity,2023,EXPENSE,UTILITY,APRIL,50.5
Electricity,2022,EXPENSE,UTILITY,APRIL,51.115
Electricity,2021,EXPENSE,UTILITY,APRIL,
Gas,2024,EXPENSE,UTILITY,APRIL,48.0
Gas,2023,EXPENSE,UTILITY,APRIL,35.0
Gas,2022,EXPENSE,UTILITY,APRIL,37.205
Gas,2021,EXPENSE,UTILITY,APRIL,
Gifts Received,2024,INCOME,OTHER,APRIL,0.0
Gifts Received,2023,INCOME,OTHER,APRIL,
Gifts Received,2022,INCOME,OTHER,APRIL,
Gifts Received,2021,INCOME,OTHER,APRIL,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,APRIL,76.92
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,APRIL,80.0
Internet,2024,EXPENSE,UTILITY,APRIL,32.5
Internet,2023,EXPENSE,UTILITY,APRIL,32.5
Internet,2022,EXPENSE,UTILITY,APRIL,27.945
Internet,2021,EXPENSE,UTILITY,APRIL,
loan,2024,INCOME,OTHER,APRIL,
loan,2023,INCOME,OTHER,APRIL,
loan,2022,INCOME,OTHER,APRIL,1700.0
loan,2021,INCOME,OTHER,APRIL,
Other,2024,INCOME,OTHER,APRIL,
Other,2023,INCOME,OTHER,APRIL,
Other,2022,INCOME,OTHER,APRIL,
Other,2021,INCOME,OTHER,APRIL,
Other,2022,EXPENSE,OTHER,APRIL,
Other USAA,2024,BANK,CARD,APRIL,0.0
Other USAA,2023,BANK,CARD,APRIL,
Phone,2024,EXPENSE,UTILITY,APRIL,73.0
Phone,2023,EXPENSE,UTILITY,APRIL,67.0
Phone,2022,EXPENSE,UTILITY,APRIL,
Phone,2021,EXPENSE,UTILITY,APRIL,
Refunds/Reimbursements,2024,INCOME,OTHER,APRIL,0.0
Refunds/Reimbursements,2023,INCOME,OTHER,APRIL,
Refunds/Reimbursements,2022,INCOME,OTHER,APRIL,146.0
Refunds/Reimbursements,2021,INCOME,OTHER,APRIL,
Rent,2023,EXPENSE,RENT,APRIL,1031.0
Rent,2022,EXPENSE,RENT,APRIL,970.35
Rent,2021,EXPENSE,RENT,APRIL,
Rent,2024,EXPENSE,RENT,APRIL,1070.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,APRIL,856.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,APRIL,
Transfer From Savings,2021,INCOME,OTHER,APRIL,
venmo,2024,INCOME,OTHER,APRIL,
venmo,2023,INCOME,OTHER,APRIL,312.0
venmo,2022,INCOME,OTHER,APRIL,
Wage,2024,INCOME,WAGE,APRIL,4546.0
Wage,2023,INCOME,WAGE,APRIL,4940.0
wage,2022,INCOME,WAGE,APRIL,500.0
Wage,2021,INCOME,WAGE,APRIL,
Water/Sewer/Trash,2024,EXPENSE,UTILITY,APRIL,
Water/Sewer/Trash,2023,EXPENSE,UTILITY,APRIL,
Water/Sewer/Trash,2022,EXPENSE,UTILITY,APRIL,
Water/Sewer/Trash,2021,EXPENSE,UTILITY,APRIL,
401k,2024,INCOME,EMPLOYEE_BENEFIT,MAY,1911.0
401k,2023,INCOME,EMPLOYEE_BENEFIT,MAY,1209.0
American Express,2024,BANK,CARD,MAY,1870.0
American Express,2023,BANK,CARD,MAY,1424.84
Apple,2024,BANK,CARD,MAY,0.0
Apple,2023,BANK,CARD,MAY,103.0
Chase,2024,BANK,CARD,MAY,113.0
Chase,2023,BANK,CARD,MAY,105.46
Debt re-payment,2024,EXPENSE,OTHER,MAY,500.0
Debt re-payment,2023,EXPENSE,OTHER,MAY,500.0
Discover,2024,BANK,CARD,MAY,9.0
Discover,2023,BANK,CARD,MAY,390.1
Discover,2022,BANK,CARD,MAY,2212.0
Discover,2021,BANK,CARD,MAY,
Dividends,2024,INCOME,OTHER,MAY,
Dividends,2023,INCOME,OTHER,MAY,
Dividends,2022,INCOME,OTHER,MAY,
Dividends,2021,INCOME,OTHER,MAY,
Electricity,2024,EXPENSE,UTILITY,MAY,64.0
Electricity,2023,EXPENSE,UTILITY,MAY,60.375
Electricity,2022,EXPENSE,UTILITY,MAY,56.0
Electricity,2021,EXPENSE,UTILITY,MAY,
Gas,2024,EXPENSE,UTILITY,MAY,37.0
Gas,2023,EXPENSE,UTILITY,MAY,34.0
Gas,2022,EXPENSE,UTILITY,MAY,31.0
Gas,2021,EXPENSE,UTILITY,MAY,
Gifts Received,2024,INCOME,OTHER,MAY,
Gifts Received,2023,INCOME,OTHER,MAY,
Gifts Received,2022,INCOME,OTHER,MAY,
Gifts Received,2021,INCOME,OTHER,MAY,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,MAY,76.0
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,MAY,80.72
Internet,2024,EXPENSE,UTILITY,MAY,37.5
Internet,2023,EXPENSE,UTILITY,MAY,32.665
Internet,2022,EXPENSE,UTILITY,MAY,27.925
Internet,2021,EXPENSE,UTILITY,MAY,
loan,2024,INCOME,OTHER,MAY,
loan,2023,INCOME,OTHER,MAY,
loan,2022,INCOME,OTHER,MAY,1700.0
loan,2021,INCOME,OTHER,MAY,
Other,2024,INCOME,OTHER,MAY,
Other,2023,INCOME,OTHER,MAY,
Other,2022,INCOME,OTHER,MAY,
Other,2021,INCOME,OTHER,MAY,
Other,2022,EXPENSE,OTHER,MAY,
Other USAA,2024,BANK,CARD,MAY,0.0
Other USAA,2023,BANK,CARD,MAY,103.0
Phone,2024,EXPENSE,UTILITY,MAY,73.0
Phone,2023,EXPENSE,UTILITY,MAY,67.0
Phone,2022,EXPENSE,UTILITY,MAY,
Phone,2021,EXPENSE,UTILITY,MAY,
Refunds/Reimbursements,2024,INCOME,OTHER,MAY,14.0
Refunds/Reimbursements,2023,INCOME,OTHER,MAY,
Refunds/Reimbursements,2022,INCOME,OTHER,MAY,
Refunds/Reimbursements,2021,INCOME,OTHER,MAY,
Rent,2023,EXPENSE,RENT,MAY,1037.51
Rent,2022,EXPENSE,RENT,MAY,968.57
Rent,2021,EXPENSE,RENT,MAY,
Rent,2024,EXPENSE,RENT,MAY,1077.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,MAY,1275.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,MAY,
Transfer From Savings,2021,INCOME,OTHER,MAY,
venmo,2024,INCOME,OTHER,MAY,
